구분,수력,,,,기력,,,,,복합화력,,,원자력,신재생,집단,내연력,기타,총계
,일반,양수,소수력,계,무연탄,유연탄,중유,LNG,계,LNG,유류,계,,,,,,
양수,0,4700,0,4700,0,0,0,0,0,0,0,0,0,0,0,0,0,4700
무연탄,0,0,0,0,360,0,0,0,360,0,0,0,0,0,0,0,0,360
유연탄,0,0,0,0,0,37119,0,0,37119,0,0,0,0,0,1097,0,0,38215
유류,0,0,0,0,0,0,0,0,0,0,612,612,0,0,109,137,0,857
LNG,0,0,0,0,0,0,0,1400,1400,33426,0,33426,0,0,8365,0,0,43191
원자력,0,0,0,0,0,0,0,0,0,0,0,0,24650,0,0,0,0,24650
기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,371,459
소계,0,4700,0,4700,360,37119,0,1400,38879,33426,612,34038,24650,0,9658,137,371,112433
수력,1600,0,217,1817,0,0,0,0,0,0,0,0,0,0,0,0,0,1817
태양에너지,0,0,0,0,0,0,0,0,0,0,0,0,0,23947,0,0,0,23947
풍력,0,0,0,0,0,0,0,0,0,0,0,0,0,2151,0,0,0,2151
해양에너지,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,256
바이오에너지,0,0,0,0,40,390,0,0,430,0,0,0,0,1812,163,0,0,2404
연료전지,0,0,0,0,0,0,0,0,0,0,0,0,0,1067,0,0,0,1067
석탄액화가스,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0,0,0,346
신재생 계,1600,0,217,1817,40,390,0,0,430,0,0,0,0,29579,163,0,0,31988
총 계,1600,4700,217,6517,400,37509,0,1400,39309,33426,612,34038,24650,29579,9821,137,371,144421
