구분,수력,,,,기력,,,,,복합화력,,,원자력,신재생,집단,내연력,기타,총계
,일반,양수,소수력,계,무연탄,유연탄,중유,LNG,계,LNG,유류,계,,,,,,
총계,1600,4700,215,6515,400,38559,0,1400,40359,35702,466,36167,26050,32878,10645,97,361,153071
신재생 계,1600,0,215,1815,40,421,0,0,461,0,0,0,0,32878,163,0,0,35317
석탄액화가스,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0,0,0,346
연료전지,0,0,0,0,0,0,0,0,0,0,0,0,0,1086,0,0,0,1086
바이오에너지,0,0,0,0,40,421,0,0,461,0,0,0,0,1846,163,0,0,2470
해양에너지,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,255
풍력,0,0,0,0,0,0,0,0,0,0,0,0,0,2248,0,0,0,2248
태양에너지,0,0,0,0,0,0,0,0,0,0,0,0,0,27096,0,0,0,27096
수력,1600,0,215,1815,0,0,0,0,0,0,0,0,0,0,0,0,0,1815
소계,0,4700,0,4700,360,38138,0,1400,39898,35702,466,36167,26050,0,10482,97,361,117755
기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,361,449
원자력,0,0,0,0,0,0,0,0,0,0,0,0,26050,0,0,0,0,26050
LNG,0,0,0,0,0,0,0,1400,1400,35702,0,35702,0,0,9232,0,0,46334
유류,0,0,0,0,0,0,0,0,0,0,466,466,0,0,65,97,0,628
유연탄,0,0,0,0,0,38138,0,0,38138,0,0,0,0,0,1097,0,0,39234
무연탄,0,0,0,0,360,0,0,0,360,0,0,0,0,0,0,0,0,360
양수,0,4700,0,4700,0,0,0,0,0,0,0,0,0,0,0,0,0,4700
