거래일,연료원,거래시간,전력거래량(MWh)
2023-11-01,매립가스,9,28
2023-11-01,매립가스,10,28
2023-11-01,매립가스,11,27
2023-11-01,매립가스,12,27
2023-11-01,매립가스,13,28
2023-11-01,매립가스,14,28
2023-11-01,매립가스,15,28
2023-11-01,매립가스,16,28
2023-11-01,매립가스,17,28
2023-11-01,매립가스,18,28
2023-11-01,매립가스,19,28
2023-11-01,매립가스,20,29
2023-11-01,매립가스,21,29
2023-11-01,매립가스,22,28
2023-11-01,매립가스,23,28
2023-11-01,매립가스,24,28
2023-11-01,중유,1,17
2023-11-01,중유,2,17
2023-11-01,중유,3,16
2023-11-01,중유,4,16
2023-11-01,중유,5,17
2023-11-01,중유,6,17
2023-11-01,중유,7,16
2023-11-01,중유,8,17
2023-11-01,중유,9,17
2023-11-01,중유,10,17
2023-11-01,중유,11,17
2023-11-01,중유,12,16
2023-11-01,중유,13,5
2023-11-01,중유,14,5
2023-11-01,중유,15,5
2023-11-01,중유,16,5
2023-11-01,중유,17,5
2023-11-01,중유,18,5
2023-11-01,중유,19,5
2023-11-01,중유,20,5
2023-11-01,중유,21,6
2023-11-01,중유,22,5
2023-11-01,중유,23,5
2023-11-01,중유,24,5
2023-11-01,태양광,1,5
2023-11-01,태양광,2,1
2023-11-01,태양광,3,0
2023-11-01,태양광,4,0
2023-11-01,태양광,5,0
2023-11-01,태양광,6,0
2023-11-01,태양광,7,1
2023-11-01,태양광,8,228
2023-11-01,태양광,9,1103
2023-11-01,태양광,10,2044
2023-11-01,태양광,11,2657
2023-11-01,태양광,12,3114
2023-11-01,태양광,13,3337
2023-11-01,태양광,14,3263
2023-11-01,태양광,15,2891
2023-11-01,태양광,16,2054
2023-11-01,태양광,17,1343
2023-11-01,태양광,18,770
2023-11-01,태양광,19,768
2023-11-01,태양광,20,678
2023-11-01,태양광,21,441
2023-11-01,태양광,22,152
2023-11-01,태양광,23,58
2023-11-01,태양광,24,15
2023-11-01,폐기물,1,136
2023-11-01,폐기물,2,134
2023-11-01,폐기물,3,134
2023-11-01,폐기물,4,137
2023-11-01,폐기물,5,140
2023-11-01,폐기물,6,139
2023-11-01,폐기물,7,137
2023-11-01,폐기물,8,134
2023-11-01,폐기물,9,134
2023-11-01,폐기물,10,134
2023-11-01,폐기물,11,136
2023-11-01,폐기물,12,133
2023-11-01,폐기물,13,135
2023-11-01,폐기물,14,136
2023-11-01,폐기물,15,134
2023-11-01,폐기물,16,132
2023-11-01,폐기물,17,130
2023-11-01,폐기물,18,122
2023-11-01,폐기물,19,121
2023-11-01,폐기물,20,122
2023-11-01,폐기물,21,121
2023-11-01,폐기물,22,119
2023-11-01,폐기물,23,119
2023-11-01,폐기물,24,117
2023-11-01,풍력,1,619
2023-11-01,풍력,2,656
2023-11-01,풍력,3,637
2023-11-01,풍력,4,681
2023-11-01,풍력,5,732
2023-11-01,풍력,6,722
2023-11-01,풍력,7,715
2023-11-01,풍력,8,721
2023-11-01,풍력,9,699
2023-11-01,풍력,10,629
2023-11-01,풍력,11,627
2023-11-01,풍력,12,602
2023-11-01,풍력,13,584
2023-11-01,풍력,14,559
2023-11-01,풍력,15,557
2023-11-01,풍력,16,613
2023-11-01,풍력,17,592
2023-11-01,풍력,18,629
2023-11-01,풍력,19,717
2023-11-01,풍력,20,782
2023-11-01,풍력,21,833
2023-11-01,풍력,22,791
2023-11-01,풍력,23,785
2023-11-01,풍력,24,792
2023-11-01,LNG,1,11043
2023-11-01,LNG,2,9923
2023-11-01,LNG,3,9680
2023-11-01,LNG,4,9659
2023-11-01,LNG,5,9843
2023-11-01,LNG,6,10855
2023-11-01,LNG,7,12612
2023-11-01,LNG,8,15408
2023-11-01,LNG,9,16906
2023-11-01,LNG,10,17278
2023-11-01,LNG,11,16446
2023-11-01,LNG,12,16290
2023-11-01,LNG,13,15656
2023-11-01,LNG,14,16131
2023-11-01,LNG,15,17344
2023-11-01,LNG,16,18611
2023-11-01,LNG,17,19793
2023-11-01,LNG,18,19728
2023-11-01,LNG,19,18724
2023-11-01,LNG,20,17516
2023-11-01,LNG,21,15895
2023-11-01,LNG,22,15181
2023-11-01,LNG,23,15086
2023-11-01,LNG,24,14079
2023-11-01,연료전지,1,813
2023-11-01,연료전지,2,813
2023-11-01,연료전지,3,814
2023-11-01,연료전지,4,815
2023-11-01,연료전지,5,815
2023-11-01,연료전지,6,815
2023-11-01,연료전지,7,816
2023-11-01,연료전지,8,815
2023-11-01,연료전지,9,815
2023-11-01,연료전지,10,815
2023-11-01,연료전지,11,815
2023-11-01,연료전지,12,814
2023-11-01,연료전지,13,811
2023-11-01,연료전지,14,811
2023-11-01,연료전지,15,813
2023-11-01,연료전지,16,817
2023-11-01,연료전지,17,820
2023-11-01,연료전지,18,822
2023-11-01,연료전지,19,822
2023-11-01,연료전지,20,823
2023-11-01,연료전지,21,823
2023-11-01,연료전지,22,824
2023-11-01,연료전지,23,824
2023-11-01,연료전지,24,825
2023-11-01,경유,1,0
2023-11-01,경유,2,0
2023-11-01,경유,3,0
2023-11-01,경유,4,0
2023-11-01,경유,5,0
2023-11-01,경유,6,0
2023-11-01,경유,7,0
2023-11-01,경유,8,0
2023-11-01,경유,9,0
2023-11-01,경유,10,0
2023-11-01,경유,11,0
2023-11-01,경유,12,0
2023-11-01,경유,13,0
2023-11-01,경유,14,0
2023-11-01,경유,15,0
2023-11-01,경유,16,0
2023-11-01,경유,17,0
2023-11-01,경유,18,0
2023-11-01,경유,19,0
2023-11-01,경유,20,0
2023-11-01,경유,21,0
2023-11-01,경유,22,0
2023-11-01,경유,23,0
2023-11-01,경유,24,0
2023-11-01,해양에너지,1,0
2023-11-01,해양에너지,2,0
2023-11-01,해양에너지,3,0
2023-11-01,해양에너지,4,42
2023-11-01,해양에너지,5,153
2023-11-01,해양에너지,6,198
2023-11-01,해양에너지,7,195
2023-11-01,해양에너지,8,141
2023-11-01,해양에너지,9,50
2023-11-01,해양에너지,10,0
2023-11-01,해양에너지,11,0
2023-11-01,해양에너지,12,0
2023-11-01,해양에너지,13,0
2023-11-01,해양에너지,14,0
2023-11-01,해양에너지,15,0
2023-11-01,해양에너지,16,39
2023-11-01,해양에너지,17,178
2023-11-01,해양에너지,18,235
2023-11-01,해양에너지,19,246
2023-11-01,해양에너지,20,231
2023-11-01,해양에너지,21,160
2023-11-01,해양에너지,22,70
2023-11-01,해양에너지,23,3
2023-11-01,해양에너지,24,0
2023-11-01,바이오매스,1,822
2023-11-01,바이오매스,2,823
2023-11-01,바이오매스,3,822
2023-11-01,바이오매스,4,821
2023-11-01,바이오매스,5,817
2023-11-01,바이오매스,6,817
2023-11-01,바이오매스,7,819
2023-11-01,바이오매스,8,817
2023-11-01,바이오매스,9,818
2023-11-01,바이오매스,10,818
2023-11-01,바이오매스,11,817
2023-11-01,바이오매스,12,818
2023-11-01,바이오매스,13,817
2023-11-01,바이오매스,14,819
2023-11-01,바이오매스,15,817
2023-11-01,바이오매스,16,815
2023-11-01,바이오매스,17,816
2023-11-01,바이오매스,18,814
2023-11-01,바이오매스,19,816
2023-11-01,바이오매스,20,816
2023-11-01,바이오매스,21,817
2023-11-01,바이오매스,22,818
2023-11-01,바이오매스,23,816
2023-11-01,바이오매스,24,818
2023-11-01,IGCC,1,268
2023-11-01,IGCC,2,266
2023-11-01,IGCC,3,264
2023-11-01,IGCC,4,264
2023-11-01,IGCC,5,264
2023-11-01,IGCC,6,262
2023-11-01,IGCC,7,262
2023-11-01,IGCC,8,262
2023-11-01,IGCC,9,262
2023-11-01,IGCC,10,263
2023-11-01,IGCC,11,261
2023-11-01,IGCC,12,262
2023-11-01,IGCC,13,263
2023-11-01,IGCC,14,265
2023-11-01,IGCC,15,264
2023-11-01,IGCC,16,267
2023-11-01,IGCC,17,266
2023-11-01,IGCC,18,266
2023-11-01,IGCC,19,264
2023-11-01,IGCC,20,264
2023-11-01,IGCC,21,264
2023-11-01,IGCC,22,263
2023-11-01,IGCC,23,261
2023-11-01,IGCC,24,263
2023-11-01,바이오중유,1,205
2023-11-01,바이오중유,2,205
2023-11-01,바이오중유,3,205
2023-11-01,바이오중유,4,205
2023-11-01,바이오중유,5,205
2023-11-01,바이오중유,6,205
2023-11-01,바이오중유,7,205
2023-11-01,바이오중유,8,205
2023-11-01,바이오중유,9,205
2023-11-01,바이오중유,10,172
2023-11-01,바이오중유,11,132
2023-11-01,바이오중유,12,134
2023-11-01,바이오중유,13,154
2023-11-01,바이오중유,14,154
2023-11-01,바이오중유,15,154
2023-11-01,바이오중유,16,186
2023-11-01,바이오중유,17,205
2023-11-01,바이오중유,18,210
2023-11-01,바이오중유,19,213
2023-11-01,바이오중유,20,213
2023-11-01,바이오중유,21,206
2023-11-01,바이오중유,22,205
2023-11-01,바이오중유,23,205
2023-11-01,바이오중유,24,205
2023-11-01,바이오기타,1,2
2023-11-01,바이오기타,2,2
2023-11-01,바이오기타,3,2
2023-11-01,바이오기타,4,2
2023-11-01,바이오기타,5,3
2023-11-01,바이오기타,6,3
2023-11-01,바이오기타,7,2
2023-11-01,바이오기타,8,2
2023-11-01,바이오기타,9,2
2023-11-01,바이오기타,10,2
2023-11-01,바이오기타,11,2
2023-11-01,바이오기타,12,1
2023-11-01,바이오기타,13,2
2023-11-01,바이오기타,14,2
2023-11-01,바이오기타,15,2
2023-11-01,바이오기타,16,2
2023-11-01,바이오기타,17,1
2023-11-01,바이오기타,18,3
2023-11-01,바이오기타,19,2
2023-11-01,바이오기타,20,2
2023-11-01,바이오기타,21,2
2023-11-01,바이오기타,22,2
2023-11-01,바이오기타,23,2
2023-11-01,바이오기타,24,2
2023-11-01,기타,1,17
2023-11-01,기타,2,17
2023-11-01,기타,3,17
2023-11-01,기타,4,17
2023-11-01,기타,5,17
2023-11-01,기타,6,17
2023-11-01,기타,7,17
2023-11-01,기타,8,17
2023-11-01,기타,9,17
2023-11-01,기타,10,17
2023-11-01,기타,11,17
2023-11-01,기타,12,17
2023-11-01,기타,13,17
2023-11-01,기타,14,17
2023-11-01,기타,15,17
2023-11-01,기타,16,17
2023-11-01,기타,17,17
2023-11-01,기타,18,17
2023-11-01,기타,19,17
2023-11-01,기타,20,17
2023-11-01,기타,21,17
2023-11-01,기타,22,17
2023-11-01,기타,23,17
2023-11-01,기타,24,17
2023-11-02,원자력,1,20891
2023-11-02,원자력,2,20895
2023-11-02,원자력,3,20893
2023-11-02,원자력,4,20897
2023-11-02,원자력,5,20895
2023-11-02,원자력,6,20887
2023-11-02,원자력,7,20887
2023-11-02,원자력,8,20888
2023-11-02,원자력,9,20885
2023-11-02,원자력,10,20882
2023-11-02,원자력,11,20887
2023-11-02,원자력,12,20894
2023-11-02,원자력,13,20888
2023-11-02,원자력,14,20888
2023-11-02,원자력,15,20882
2023-11-02,원자력,16,20879
2023-11-02,원자력,17,20879
2023-11-02,원자력,18,20882
2023-11-02,원자력,19,20882
2023-11-02,원자력,20,20882
2023-11-02,원자력,21,20884
2023-11-02,원자력,22,20886
2023-11-02,원자력,23,20887
2023-11-02,원자력,24,20891
2023-11-02,유연탄,1,19820
2023-11-02,유연탄,2,19190
2023-11-02,유연탄,3,19279
2023-11-02,유연탄,4,19122
2023-11-02,유연탄,5,19190
2023-11-02,유연탄,6,19278
2023-11-02,유연탄,7,19288
2023-11-02,유연탄,8,19220
2023-11-02,유연탄,9,18891
2023-11-02,유연탄,10,17433
2023-11-02,유연탄,11,15779
2023-11-02,유연탄,12,15159
2023-11-02,유연탄,13,15010
2023-11-02,유연탄,14,16201
2023-11-02,유연탄,15,17693
2023-11-02,유연탄,16,18140
2023-11-02,유연탄,17,18868
2023-11-02,유연탄,18,19224
2023-11-02,유연탄,19,19476
2023-11-02,유연탄,20,19424
2023-11-02,유연탄,21,19300
2023-11-02,유연탄,22,19311
2023-11-02,유연탄,23,19339
2023-11-02,유연탄,24,19341
2023-11-02,무연탄,1,163
2023-11-02,무연탄,2,167
2023-11-02,무연탄,3,162
2023-11-02,무연탄,4,162
2023-11-02,무연탄,5,164
2023-11-02,무연탄,6,167
2023-11-02,무연탄,7,168
2023-11-02,무연탄,8,167
2023-11-02,무연탄,9,167
2023-11-02,무연탄,10,168
2023-11-02,무연탄,11,168
2023-11-02,무연탄,12,168
2023-11-02,무연탄,13,168
2023-11-02,무연탄,14,162
2023-11-02,무연탄,15,157
2023-11-02,무연탄,16,160
2023-11-02,무연탄,17,163
2023-11-02,무연탄,18,166
2023-11-02,무연탄,19,167
2023-11-02,무연탄,20,166
2023-11-02,무연탄,21,166
2023-11-02,무연탄,22,167
2023-11-02,무연탄,23,167
2023-11-02,무연탄,24,168
2023-11-02,바이오가스,1,35
2023-11-02,바이오가스,2,35
2023-11-02,바이오가스,3,34
2023-11-02,바이오가스,4,35
2023-11-02,바이오가스,5,35
2023-11-02,바이오가스,6,34
2023-11-02,바이오가스,7,35
2023-11-02,바이오가스,8,35
2023-11-02,바이오가스,9,35
2023-11-02,바이오가스,10,33
2023-11-02,바이오가스,11,32
2023-11-02,바이오가스,12,32
2023-11-02,바이오가스,13,33
2023-11-02,바이오가스,14,34
2023-11-02,바이오가스,15,36
2023-11-02,바이오가스,16,35
2023-11-02,바이오가스,17,36
2023-11-02,바이오가스,18,35
2023-11-02,바이오가스,19,31
2023-11-02,바이오가스,20,32
2023-11-02,바이오가스,21,33
2023-11-02,바이오가스,22,32
2023-11-02,바이오가스,23,35
2023-11-02,바이오가스,24,36
2023-11-02,부생가스,1,80
2023-11-02,부생가스,2,81
2023-11-02,부생가스,3,81
2023-11-02,부생가스,4,82
2023-11-02,부생가스,5,82
2023-11-02,부생가스,6,82
2023-11-02,부생가스,7,82
2023-11-02,부생가스,8,89
2023-11-02,부생가스,9,109
2023-11-02,부생가스,10,114
2023-11-02,부생가스,11,128
2023-11-02,부생가스,12,101
2023-11-02,부생가스,13,130
2023-11-02,부생가스,14,105
2023-11-02,부생가스,15,87
2023-11-02,부생가스,16,115
2023-11-02,부생가스,17,132
2023-11-02,부생가스,18,90
2023-11-02,부생가스,19,80
2023-11-02,부생가스,20,81
2023-11-02,부생가스,21,79
2023-11-02,부생가스,22,87
2023-11-02,부생가스,23,79
2023-11-02,부생가스,24,78
2023-11-02,수력,1,186
2023-11-02,수력,2,106
2023-11-02,수력,3,104
2023-11-02,수력,4,101
2023-11-02,수력,5,98
2023-11-02,수력,6,97
2023-11-02,수력,7,97
2023-11-02,수력,8,133
2023-11-02,수력,9,466
2023-11-02,수력,10,461
2023-11-02,수력,11,522
2023-11-02,수력,12,498
2023-11-02,수력,13,257
2023-11-02,수력,14,440
2023-11-02,수력,15,430
2023-11-02,수력,16,364
2023-11-02,수력,17,334
2023-11-02,수력,18,294
2023-11-02,수력,19,266
2023-11-02,수력,20,257
2023-11-02,수력,21,200
2023-11-02,수력,22,255
2023-11-02,수력,23,253
2023-11-02,수력,24,208
2023-11-02,양수,1,0
2023-11-02,양수,2,0
2023-11-02,양수,3,0
2023-11-02,양수,4,0
2023-11-02,양수,5,0
2023-11-02,양수,6,0
2023-11-02,양수,7,0
2023-11-02,양수,8,0
2023-11-02,양수,9,0
2023-11-02,양수,10,0
2023-11-02,양수,11,0
2023-11-02,양수,12,0
2023-11-02,양수,13,0
2023-11-02,양수,14,0
2023-11-02,양수,15,0
2023-11-02,양수,16,201
2023-11-02,양수,17,434
2023-11-02,양수,18,1310
2023-11-02,양수,19,1728
2023-11-02,양수,20,1697
2023-11-02,양수,21,1365
2023-11-02,양수,22,1026
2023-11-02,양수,23,968
2023-11-02,양수,24,158
2023-11-02,매립가스,1,28
2023-11-02,매립가스,2,28
2023-11-02,매립가스,3,28
2023-11-02,매립가스,4,28
2023-11-02,매립가스,5,28
2023-11-02,매립가스,6,29
2023-11-02,매립가스,7,29
2023-11-02,매립가스,8,29
2023-11-02,매립가스,9,29
2023-11-02,매립가스,10,29
2023-11-02,매립가스,11,28
2023-11-02,매립가스,12,29
2023-11-02,매립가스,13,29
