구분,수력,,,,기력,,,,,복합화력,,,원자력,신재생,집단,내연력,기타,총계
,일반,양수,소수력,계,무연탄,유연탄,중유,LNG,계,LNG,유류,계,,,,,,
양수,0,4700,0,4700,0,0,0,0,0,0,0,0,0,0,0,0,0,4700
무연탄,0,0,0,0,400,0,0,0,400,0,0,0,0,0,0,0,0,400
유연탄,0,0,0,0,0,35429,0,0,35429,0,0,0,0,0,1509,0,0,36938
유류,0,0,0,0,0,0,1200,0,1200,0,612,612,0,0,171,177,0,2160
LNG,0,0,0,0,0,0,0,1400,1400,32401,0,32401,0,0,7401,0,0,41201
원자력,0,0,0,0,0,0,0,0,0,0,0,0,23250,0,0,0,0,23250
기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,367,515
소계,0,4700,0,4700,400,35429,1200,1400,38429,32401,612,33013,23250,0,9229,177,367,109164
수력,1605,0,236,1841,0,0,0,0,0,0,0,0,0,0,0,0,0,1841
태양에너지,0,0,0,0,0,0,0,0,0,0,0,0,0,18521,0,0,0,18521
풍력Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,1708,0,0,0,1708
해양에너지,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,256
바이오에너지,0,0,0,0,0,0,0,0,0,0,0,0,0,1446,0,0,0,1446
폐기물에너지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
매립가스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
연료전지,0,0,0,0,0,0,0,0,0,0,0,0,0,737,0,0,0,737
석탄액화가스,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0,0,0,346
신재생 계,1605,0,236,1841,0,0,0,0,0,0,0,0,0,23014,0,0,0,24855
총 계,1605,4700,236,6541,400,35429,1200,1400,38429,32401,612,33013,23250,23014,9229,177,367,134020
