구분,수력,,,,기력,,,,,복합화력,,,원자력,신재생,집단,내연력,기타,총계
,일반,양수,소수력,계,무연탄,유연탄,중유,LNG,계,LNG,유류,계,,,,,,
양수,0,4700,0,4700,0,0,0,0,0,0,0,0,0,0,0,0,0,4700
무연탄,0,0,0,0,360,0,0,0,360,0,0,0,0,0,0,0,0,360
유연탄,0,0,0,0,0,36159,0,0,36159,0,0,0,0,0,1141,0,0,37300
유류,0,0,0,0,0,0,0,0,0,0,612,612,0,0,171,137,0,920
LNG,0,0,0,0,0,0,0,1400,1400,32401,0,32401,0,0,7401,0,0,41201
원자력,0,0,0,0,0,0,0,0,0,0,0,0,24650,0,0,0,0,24650
기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,369,457
소계,0,4700,0,4700,360,36159,0,1400,37919,32401,612,33013,24650,0,8801,137,369,109588
수력,1582,0,231,1813,0,0,0,0,0,0,0,0,0,0,0,0,0,1813
태양에너지,0,0,0,0,0,0,0,0,0,0,0,0,0,21150,0,0,0,21150
풍력,0,0,0,0,0,0,0,0,0,0,0,0,0,1893,0,0,0,1893
해양에너지,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,256
바이오에너지,0,0,0,0,40,310,0,0,350,0,0,0,0,1801,118,0,0,2269
연료전지,0,0,0,0,0,0,0,0,0,0,0,0,0,880,0,0,0,880
석탄액화가스,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0,0,0,346
신재생 계,1582,0,231,1813,40,310,0,0,350,0,0,0,0,26326,118,0,0,28607
총 계,1582,4700,231,6513,400,36469,0,1400,38269,32401,612,33013,24650,26326,8919,137,369,138195
