거래일,체결 수량,평균가,체결총액,시작가,종가,기준가,최고가,최저가
2022-06-30,115300,54964,6337382400,53000,55000,55000,55000,53000
2022-07-05,103297,54752,5655710300,53000,55000,55000,55100,52600
2022-07-07,82912,54916,4553168600,52700,54800,55000,55000,52700
2022-07-12,187978,55241,10384033000,54500,55300,54800,55500,54000
2022-07-14,128421,55467,7123143500,55000,55600,55300,55700,55000
2022-07-19,147135,55851,8217606600,55300,56100,55600,56200,55000
2022-07-21,97565,55967,5460464100,55700,56100,56100,56200,55700
2022-07-26,153753,57459,8834435700,55200,57600,56100,58000,55200
2022-07-28,123652,57913,7161098900,56000,58000,57600,58000,56000
2022-08-02,137613,58581,8061492100,57500,58900,58000,59000,57500
2022-08-04,183159,60426,11067517300,55900,60900,58900,61000,55900
2022-08-09,282656,62051,17538955200,56000,62700,60900,63000,56000
2022-08-11,178552,63376,11315948700,58300,63600,62700,64000,58300
2022-08-16,80034,63679,5096478800,59000,64000,63600,64300,59000
2022-08-18,150741,65146,9820218500,63000,65000,64000,66000,58500
2022-08-23,79796,63785,5089757400,59500,63600,65000,65000,59500
2022-08-25,72034,63818,4597048000,62000,63500,63600,65000,57800
2022-08-30,124011,64058,7943939900,58000,63200,63500,65000,58000
2022-09-01,105329,63697,6709127600,57000,63600,63200,64100,57000
2022-09-06,76143,63247,4815830000,61000,62800,63600,64000,60000
2022-09-08,72105,63453,4575287300,60000,63700,62800,64000,57300
2022-09-13,113317,64306,7286958500,64300,63700,63700,65000,61300
2022-09-15,71926,63733,4584037900,58000,63500,63700,64400,58000
2022-09-20,95890,63581,6096768100,59000,63200,63500,64000,58000
2022-09-22,101071,63621,6430235400,58100,63100,63200,64000,58100
2022-09-27,159445,63848,10180253600,58500,63400,63100,64000,58300
2022-09-29,132427,63846,8454880300,57700,63700,63400,64000,57700
2022-10-04,163783,63957,10475027700,63900,63900,63700,64000,62000
2022-10-06,166472,63941,10644421900,58200,63700,63900,64000,58200
2022-10-11,148910,63899,9515256000,63000,63800,63700,64200,58500
2022-10-13,134182,63953,8581359500,60000,63400,63800,64200,60000
2022-10-18,139856,64047,8957344600,57500,64000,63400,64200,57500
2022-10-20,153389,64245,9854463200,60800,64100,64000,64500,60800
2022-10-25,83379,63553,5298972700,59000,63500,64100,64000,59000
2022-10-27,189194,63933,12095676500,61000,63800,63500,64300,61000
2022-11-01,174599,64179,11205526600,60700,64000,63800,64500,60700
2022-11-03,152294,64278,9789228800,61100,64100,64000,64500,61100
2022-11-08,260105,63989,16643900100,63000,63900,64100,64000,63000
2022-11-10,162006,64058,10377837100,63000,63900,63900,64300,63000
2022-11-15,175984,64083,11277591000,61200,64000,63900,64300,61200
2022-11-17,122498,64106,7852913900,63000,63900,64000,64300,61300
2022-11-22,130312,64209,8367260500,64000,64100,63900,64300,63600
2022-11-24,72963,64200,4684203300,58100,64200,64100,64300,58100
2022-11-29,152617,64384,9826112700,64200,64400,64200,64500,60000
2022-12-01,94842,64479,6115276500,63000,64600,64400,64600,60000
2022-12-06,89789,64486,5790088800,64000,64500,64600,64600,64000
2022-12-08,93319,64564,6025071600,64000,64600,64500,64700,64000
2022-12-13,138778,64591,8963879100,63500,64500,64600,64700,63500
2022-12-15,85533,64643,5529134200,60000,64500,64500,64800,60000
2022-12-20,150334,65039,9777604100,64200,64900,64500,65300,64100
2022-12-22,130453,64852,8460144400,62100,64600,64900,65000,62100
2022-12-27,121159,64692,7837992200,64000,63000,64600,65000,63000
2022-12-29,60139,61956,3725996800,56700,57500,63000,63000,56700
2023-01-03,33025,57882,1911545100,60000,58000,57500,61000,53100
2023-01-05,37944,59032,2239925600,54000,59100,58000,59300,54000
2023-01-10,90737,61465,5577179400,60000,61400,59100,62000,60000
2023-01-12,51080,61909,3162331700,60000,61400,61400,62200,60000
2023-01-17,99479,62007,6168399100,60000,62000,61400,62400,56500
2023-01-19,71122,61973,4407612300,61500,61800,62000,62200,61500
2023-01-26,118941,61972,7371052400,56500,61900,61800,62100,56500
2023-01-31,128377,61926,7949857500,60100,61900,61900,62000,60100
2023-02-02,131920,61926,8169284500,61000,61900,61900,62000,61000
2023-02-07,177381,62124,11019611800,57600,62200,61900,62500,57600
2023-02-09,83994,62321,5234568700,58000,62200,62200,62500,58000
2023-02-14,131210,62413,8189212300,61800,62500,62200,62700,61800
2023-02-16,131915,62801,8284382200,62000,62600,62500,63000,62000
2023-02-21,178598,63461,11334071700,62100,63300,62600,63700,62100
2023-02-23,181894,63421,11535942500,60000,63200,63300,63500,60000
2023-02-28,198549,63625,12632769600,63000,63700,63200,63800,61800
2023-03-02,150855,64289,9698377700,63500,64500,63700,64600,63500
2023-03-07,245734,64971,15965543800,64000,65000,64500,65300,62700
2023-03-09,170754,65724,11222591600,61700,65800,65000,66000,61700
2023-03-14,183449,66905,12273650000,65500,67100,65800,67200,65000
2023-03-16,118716,68812,8169100200,66800,69100,67100,69300,66800
2023-03-21,131433,69508,9135634500,62200,69500,69100,70000,62200
2023-03-23,139270,70620,9835312800,68000,71000,69500,71200,66100
2023-03-28,165955,71712,11901037300,71000,71600,71000,72000,68100
2023-03-30,238343,71661,17079795900,67000,71500,71600,72000,67000
