기간,원자력,석탄_유연탄,석탄_무연탄,석탄_계,유류,LNG,양수,신재생_연료전지,신재생_석탄가스화,신재생_태양,신재생_풍력,신재생_수력,신재생_해양,신재생_바이오,신재생_폐기물,신재생_계,기타,배출권거래비용정산금,전력시장_계,PPA_계,전력시장+PPA_계
2026/04,12471.441160699998,14304.965763339998,0.000015250000000000001,14304.965778589998,14.31275754,18331.337380239995,473.1520912,963.8723116899997,0,1446.735385240004,332.2103085100001,305.69626499000003,0,1107.9389327700003,143.73066711999996,4300.183870320004,127.2244,0,50022.61751088999,,50022.61751088999
2026/03,11550.734037789998,15560.193149929999,0,15560.193149929999,24.55887174,21445.65410406,521.6383088900001,886.0841455499997,0,1277.2925669200033,244.15528900000004,245.77370189000004,0,1083.1237194300002,200.41727943999987,3936.846702230003,138.8877,0,53178.51290596999,2701.790397,55880.30330296999
2026/02,10594.60941596,17610.05710308,34.162705009999996,17644.219808089998,30.64871172,21131.21049869999,515.42645076,760.7297128300005,0,985.5067974499973,419.70671306,242.32773629000013,0,1108.0343927800002,190.92677256,3707.2321249699976,171.5972,0,53794.94415148001,2214.6,56009.54415148001
2026/01,12625.277397069998,20701.08949506999,21.98966683,20723.07916189999,42.37110763,25640.432506370005,663.34395483,783.6072362399998,0,889.9535638199975,600.2898813600002,266.66267657000014,0.0003745,1211.87995979,204.45160980999998,3956.8453020899974,233.9291,0,63885.27853902999,1977.17,65862.44853902998
2025/12,14706.448463430002,18795.175704739995,223.04632813,19018.222032869995,58.47166712,19831.9492288,720.9668148899999,682.52600168,46.680616920000006,722.3388983000029,410.10568234000016,244.75254038000014,0,1141.12894886,220.75200160000003,3468.284690080003,172.2307,0,57976.57362805,1414.37394,59390.947568049996
2025/11,8204.65222765,14946.494401659997,237.95599717999997,15184.450398839997,22.38856119,17432.14954883,630.96539932,672.3171039199999,41.312941419999994,891.674497590002,331.22969887999983,289.17095172,0.0000078,1018.6091404599997,214.24541886999998,3458.5597606600018,330.0449,0,45263.210802429996,1814.30137,47077.51217243
2025/10,8153.828257269999,15206.766466629999,97.00826869000001,15303.77473532,14.672731740000001,16732.035424499994,577.8059951800001,709.0998899499999,189.84563462999998,893.0631863199956,217.43513774000007,633.0980504399997,0.00106488,981.81471348,193.56201913,3817.9196965699957,226.1218,0,44826.15864137,1682.16062,46508.31926137
2025/09,9922.258435740001,23597.682434690003,104.11993091000001,23701.802365600004,227.76502291999998,18939.088117109997,641.2862984400001,716.0359937800001,153.57769295,1110.2562946700002,200.21464224,507.40171738000026,0.00130257,1145.79386365,183.72660036999997,4017.008107610001,98.8809,0,57548.089268359996,2077.51363,59625.60289836
2025/08,10770.381355249998,27948.394344330012,156.07524146,28104.46958579001,50.71311855999999,24440.907216770003,714.70970904,800.20866884,216.81941847,1504.037111320001,189.09978137000002,416.0072696899996,0,1470.9438038399994,219.88408610999994,4817.00013964,97.0409,0,68995.22194301002,2923.83,71919.05194301002
2025/07,12003.21680547,28221.271693829996,167.01361132999997,28388.285305159996,38.86456961,23482.18310004,802.3336063499999,839.25419999,165.393461,1711.3611089999984,234.45543576999992,405.60329148999995,0,1221.38358336,225.47933384999993,4802.930414459997,572.2864,0,70090.10017504005,3281.20258,73371.30275504004
2025/06,11332.365193820002,18945.22634088,4.69843513,18949.92477601,21.21252265,18515.428994569997,684.11513765,804.76052336,134.41162596,1546.982891929997,251.55925971999994,575.4027294100001,0,963.4126600799998,218.95891753000006,4495.488607989997,347.164,0,54345.69924738999,3019.73003,57365.42927738999
2025/05,12082.3701603,15771.098901259995,7.56229767,15778.661198929994,14.920673980000002,18520.495687260005,719.2452733700001,878.50715074,64.49903892,1558.5810873600067,348.88639055,573.9045039499997,0,1279.86673316,251.51109001,4955.755994690006,125.0878,0,52196.53676499995,3120.37155,55316.90831499995
2025/04,12069.184589569999,12327.476364660002,101.24743144,12428.723796100003,15.5991908,21032.161633039996,751.31223731,830.9035228199992,0,1742.691162059999,379.30367975,329.15220876000006,0.00010644,1137.8401804199998,244.58531155000009,4664.476171799999,303.8114,0,51265.26909333001,3411.01,54676.27909333001
2025/03,12868.674631269998,13131.784605220004,75.39619238,13207.180797600004,26.398995319999997,22546.02766634,820.3790641499999,777.3206264499997,46.881326019999996,1269.2722399199981,386.8829735000001,257.3169838999999,0.00036682,1159.1764659300002,243.8656556800001,4140.716638219998,154.3679,0,53763.745660209985,2571.8,56335.54566020999
2025/02,12570.255913949997,17148.78688237,37.45085832,17186.23774069,51.329691430000004,24330.49624449001,772.9284951499999,723.66710647,211.14309752,1159.319823079996,557.86825998,267.14046593,0,1180.48410882,235.60616144,4335.2290232399955,167.7221,0,59414.19914881001,2254.69,61668.88914881001
2025/01,14067.71952098,19753.60028461999,228.44224204,19982.042526659992,72.57963694,26134.284906740013,905.4793307999998,790.5096581199998,233.72863265,909.7574096600026,450.63311381000017,312.67855634999995,0,1293.2151864099997,224.92884451,4215.451401510002,144.5186,0,65522.07595085,1666.52,67188.59595085001
2024/12,11428.54524194,20102.658689640008,250.03053,20352.689219640008,57.74565715,25838.359002859994,889.2390791499998,758.9750591999999,242.30898994,915.0062846399996,571.4834559199999,298.01570304999984,0.0000021000000000000002,1243.15916055,0,4028.9486553999996,428.0724,0,63023.59926364001,1662.11,64685.70926364001
2024/11,8265.09523237,13287.128405790001,132.86250927,13419.990915060001,26.76947505,20229.827704699997,692.8608190199999,689.7319802,112.82865076,862.3745240599998,341.1301510799999,257.5612994299998,0,1076.12049699,0,3339.7471025199998,360.4562,0,46334.74741827999,1630.55,47965.297418279995
2024/10,8588.915878790001,13217.943630540001,30.097901089999997,13248.04153163,19.822253810000003,18910.17021894,701.73837305,723.36940579,193.78595854,1008.2756039099963,250.98072046000004,308.31413034999986,0,1186.47880066,0,3671.204619709996,318.8871,0,45458.77993335,1860.34,47319.11993335
2024/09,11746.54156034,23489.981296140002,262.58960763000005,23752.570903770003,35.5932043,24055.812262959993,756.97563017,802.3374831399996,251.27823762,1424.4537932699925,189.71076753,457.1400087399995,50.284499610000005,1351.97420358,0,4527.178993489992,370.8071,0,65245.47969964001,2664.54,67910.01969964
2024/08,12705.645337470001,31346.203169140015,349.87473632,31696.077905460013,88.84486669,31186.642665589996,909.71036716,887.5863979300001,281.13928114,1811.806862020012,177.83410273000004,636.6577287700002,48.19334132,1538.4478709799994,0,5381.665584890011,405.1528,0,82373.73953573003,3444.88,85818.61953573003
2024/07,12520.695720120002,24813.678481499996,228.35103439,25042.029515889997,45.817067449999996,27236.260255360008,779.43468817,815.77185781,218.05487165,1278.9408019100001,427.63609186000025,925.29951695,42.46977664,1395.3408929900006,0,5103.5138098100015,428.6489,0,71156.39994576003,2376.48,73532.87994576003
2024/06,10228.308724010003,17712.16031218,233.8162647,17945.97657688,22.15360318,21347.031375850005,660.7652883300001,746.68558495,134.46504228,1569.2872241900081,173.71520329000003,647.0116909100002,40.32137018,1090.72451647,0,4402.210632270009,339.3124,0,54945.75854792,2994.2,57939.958547919996
2024/05,10405.96829864,13720.417497129994,220.19469807000002,13940.612195199994,18.21094024,19585.522150750003,831.1715849899999,774.0216806100001,0,1757.4035365500022,382.22838084999995,691.9386965399997,43.08163795,972.3603656399998,0,4621.034298140002,410.3169,0,49812.83636218999,3338.36,53151.19636218999
2024/04,9311.53025408,15304.145361260002,149.82263879,15453.968000050001,21.031364080000003,19418.211456899993,787.85984738,748.88246118,75.9652627,1289.5914032899962,260.92422425999996,756.7703003499997,43.226973120000004,1197.5986449299999,0,4372.959269829996,357.202,0,49722.76227113,2583.69,52306.45227113
2024/03,7691.303895609999,15972.93890935,159.26178102000003,16132.20069037,43.26789658,25571.065506950003,970.07291954,820.1150004999998,265.65501501,1334.0455879799972,506.54716722999996,426.3417680000002,50.40090247,1445.5865341100005,0,4848.6919752999975,247.3697,0,55503.972583350005,2702.55,58206.52258335001
