model,mae,rmse,mape,smape,r2,directional_accuracy,peak_precision,peak_recall,peak_f1,peak_threshold,n_observations,eval_start_period,eval_end_period
delta_ar_ridge,8.224221745987549,12.447072861893565,7.320093756189848,7.28815213631203,0.9149301165865752,0.5838926174496645,0.7777777777777778,0.9333333333333333,0.8484848484848485,153.183,150,2013-01-01 00:00:00,2026-03-01 00:00:00
monthly_ar_ridge,8.533505525600344,12.528433448684,7.594591840675716,7.559562258379571,0.913814359260019,0.5436241610738255,0.7368421052631579,0.9333333333333333,0.8235294117647058,153.183,150,2013-01-01 00:00:00,2026-03-01 00:00:00
persistence_monthly,8.77966666666667,13.417420045100574,7.607710811697112,7.464797768269412,0.9011493780886675,0.5302013422818792,0.7333333333333333,0.7333333333333333,0.7333333333333333,153.183,150,2013-01-01 00:00:00,2026-03-01 00:00:00
ridge,9.559792249311718,14.547178070406243,8.62506672158416,8.6833817314232,0.883801938193214,0.5503355704697986,0.7,0.9333333333333333,0.8,153.183,150,2013-01-01 00:00:00,2026-03-01 00:00:00
delta_ridge,9.65791696508479,14.87874010727361,8.719796021376984,8.917330405006755,0.8784447587214452,0.6174496644295302,0.6666666666666666,0.9333333333333333,0.7777777777777778,153.183,150,2013-01-01 00:00:00,2026-03-01 00:00:00
naive_lag_1m,13.206266666666666,20.74035618466247,11.694757471454126,11.319142813287916,0.7638033166707113,0.5369127516778524,0.5294117647058824,0.6,0.5625,153.183,150,2013-01-01 00:00:00,2026-03-01 00:00:00
seasonal_naive_lag_12m,33.01926666666667,49.76062724015176,28.355894947137152,26.73592567991862,-0.3596059801598781,0.4966442953020134,0.14285714285714285,0.2,0.16666666666666666,153.183,150,2013-01-01 00:00:00,2026-03-01 00:00:00
