fold,train_n,valid_n,train_period,valid_period,rmse,mape,mae
1,31,30,"('2011-01-01', '2013-07-01')","('2013-09-01', '2016-02-01')",16.40741505605824,127.36927190898544,13.304691478315021
2,61,30,"('2011-01-01', '2016-01-01')","('2016-03-01', '2018-08-01')",6.6246656035222085,84.4401555494668,6.299278656609006
3,91,30,"('2011-01-01', '2018-07-01')","('2018-09-01', '2021-02-01')",7.439977339601136,165.25646758738648,6.5577429158653056
4,121,30,"('2011-01-01', '2021-01-01')","('2021-03-01', '2023-08-01')",12.349327189816641,52.95740333393666,10.374338515521588
5,151,30,"('2011-01-01', '2023-07-01')","('2023-09-01', '2026-02-01')",3.1019929287052546,20.04201230123175,2.3708490870398253
