fold,train_n,valid_n,train_period,valid_period,rmse,mape,mae
1,31,30,"('2011-01-01', '2013-07-01')","('2013-09-01', '2016-02-01')",4.886458662304375,36.47988913238966,3.5875030754755866
2,61,30,"('2011-01-01', '2016-01-01')","('2016-03-01', '2018-08-01')",2.543547189506919,32.21536737959963,2.199666438641169
3,91,30,"('2011-01-01', '2018-07-01')","('2018-09-01', '2021-02-01')",5.177452852740414,113.07290365200491,4.717557631520212
4,121,30,"('2011-01-01', '2021-01-01')","('2021-03-01', '2023-08-01')",15.18963499525654,39.0557098481893,11.346071316368626
5,151,30,"('2011-01-01', '2023-07-01')","('2023-09-01', '2026-02-01')",3.8598896260575284,27.24189306671531,3.278871932139526
