model,n_folds,embargo,rmse_mean,rmse_std,mape_mean,mape_std,mae_mean,mae_std
naive_lag1,5,1,4.094391933405776,3.413823653981296,21.598225828045752,10.871080677405995,2.8417084573333335,2.5169658675118805
lightgbm,5,1,6.331396665173155,4.524245111875522,49.61315261577976,31.98198991317029,5.025934078829024,3.260316837498044
