model,mae,rmse,mape,smape,r2,directional_accuracy,peak_precision,peak_recall,peak_f1,peak_threshold,n_observations,eval_start_period,eval_end_period
persistence_monthly,8.77966666666667,13.417420045100574,7.607710811697112,7.464797768269412,0.9011493780886675,0.5302013422818792,0.7333333333333333,0.7333333333333333,0.7333333333333333,153.183,150,2013-01-01 00:00:00,2026-03-01 00:00:00
monthly_ar_ridge,9.287283219968518,14.163609822429478,8.21689035082077,8.006823016945628,0.8898487873308856,0.5167785234899329,0.6875,0.7333333333333333,0.7096774193548386,153.183,150,2013-01-01 00:00:00,2026-03-01 00:00:00
ridge,10.245372586657053,15.813784616805567,9.15968858604469,9.18621768147033,0.8626865708896334,0.5838926174496645,0.7058823529411765,0.8,0.7500000000000001,153.183,150,2013-01-01 00:00:00,2026-03-01 00:00:00
naive_lag_1m,13.206266666666666,20.74035618466247,11.694757471454126,11.319142813287916,0.7638033166707113,0.5369127516778524,0.5294117647058824,0.6,0.5625,153.183,150,2013-01-01 00:00:00,2026-03-01 00:00:00
seasonal_naive_lag_12m,33.01926666666667,49.76062724015176,28.355894947137152,26.73592567991862,-0.3596059801598781,0.4966442953020134,0.14285714285714285,0.2,0.16666666666666666,153.183,150,2013-01-01 00:00:00,2026-03-01 00:00:00
